type	prod0	prod1	prod2	prod3	prod4	prod5	prod6	prod7	prod8	prod9	daysLate
1	27	16	21	11	16	25	17	29	21	22	2
1	12	46	20	17	20	31	21	31	15	30	41
1	20	21	20	15	16	14	20	24	25	25	28
0	16	39	21	13	18	26	18	29	19	21	25
1	31	21	20	12	23	25	19	30	14	14	26
0	10	24	18	15	19	42	24	29	16	38	20
1	17	17	23	16	19	24	19	24	27	24	19
0	10	20	28	18	21	38	25	30	17	20	6
0	12	25	20	18	15	27	16	30	30	18	44
1	32	19	21	13	21	24	20	26	15	17	18
1	19	21	20	15	26	26	18	29	29	21	7
1	13	50	22	20	23	23	20	31	15	31	58
1	15	37	22	18	19	26	14	33	15	33	49
1	27	27	20	14	20	26	18	37	15	24	4
1	12	41	18	18	26	25	20	31	20	26	48
1	12	34	18	15	18	29	20	31	16	36	48
0	13	19	28	22	25	40	21	24	14	20	22
0	12	20	20	20	27	45	22	33	13	49	22
0	14	18	22	16	21	25	25	24	29	17	45
0	11	25	18	15	19	41	18	28	15	43	8
1	31	22	16	17	19	24	22	31	13	20	3
1	29	20	20	9	23	28	24	34	18	22	12
0	9	18	19	13	24	41	21	26	12	40	26
0	12	20	29	16	12	31	23	28	17	25	28
0	14	43	23	15	24	25	25	31	21	23	5
1	12	40	20	20	22	22	21	36	11	29	42
1	35	22	22	17	23	32	20	27	14	24	1
0	12	43	20	16	14	27	22	38	16	28	21
1	10	41	21	19	23	25	19	30	16	29	59
0	12	15	22	19	19	21	15	26	27	24	51
0	14	41	20	13	25	22	20	24	10	22	25
1	27	14	19	15	18	31	22	29	21	17	2
0	12	20	18	19	20	31	16	31	26	23	59
0	11	42	17	17	20	26	20	36	16	20	0
1	32	27	17	18	13	27	27	26	15	17	14
1	11	43	19	15	22	27	19	28	15	29	37
0	14	20	21	15	26	20	20	33	24	12	36
0	18	16	16	15	18	48	20	32	10	40	0
0	13	40	23	16	18	33	17	39	11	20	24
1	28	14	20	13	15	24	20	30	19	21	27
1	18	31	23	16	16	34	17	30	30	22	27
0	11	24	15	15	17	26	16	32	29	24	41
1	21	27	16	12	16	26	20	27	15	19	16
0	11	23	31	15	21	36	21	31	13	22	9
0	16	27	24	15	22	21	10	29	31	17	32
1	20	19	20	18	18	26	19	26	22	18	2
0	13	41	21	24	20	20	21	30	9	26	23
1	30	16	23	13	12	25	19	31	15	21	7
1	14	34	18	11	20	25	22	24	15	26	33
0	11	21	35	15	21	30	18	30	20	16	26
0	11	18	21	14	20	42	16	33	15	39	14
0	15	36	21	17	19	29	24	35	17	25	10
0	12	26	30	13	24	31	17	30	14	18	19
1	12	46	17	20	26	26	21	26	17	27	39
0	12	19	14	16	23	27	24	26	30	28	39
0	12	17	29	15	20	37	20	33	18	20	12
0	10	18	24	16	25	45	20	30	15	47	14
1	12	46	20	18	19	24	21	35	15	29	53
0	11	15	32	18	29	35	25	34	15	19	11
0	15	19	30	9	16	40	23	31	16	20	10
0	13	41	20	14	28	29	20	23	14	24	9
1	27	15	20	15	22	30	20	38	27	21	25
0	11	42	25	18	25	26	21	20	13	17	26
0	8	15	24	18	25	48	20	37	14	35	26
0	12	43	20	16	18	14	22	24	15	19	2
1	23	22	22	12	20	20	23	33	25	20	17
1	30	15	21	11	25	25	20	33	17	16	29
1	25	19	23	15	26	21	19	31	18	16	15
1	20	21	22	16	20	21	17	29	23	19	27
1	35	19	20	14	18	40	19	24	17	7	1
0	14	19	30	8	21	35	20	32	16	15	2
0	14	21	32	18	19	35	21	41	15	19	14
0	13	24	20	14	26	30	20	24	27	19	58
1	13	43	17	10	20	30	22	24	15	34	39
1	29	23	20	18	18	28	23	29	18	23	0
0	15	22	28	19	23	35	22	35	10	19	21
1	17	39	13	10	15	22	19	32	15	31	53
1	23	22	21	16	13	22	19	27	17	17	3
0	13	24	18	17	21	31	16	37	25	20	37
0	12	16	21	22	19	41	17	29	14	36	18
1	19	7	17	15	19	21	21	26	26	20	19
0	16	25	30	15	19	35	27	32	15	20	30
0	8	21	30	18	19	35	22	24	12	20	9
0	10	22	36	15	21	35	20	36	13	16	10
0	7	26	20	11	20	19	21	30	30	16	40
1	11	39	24	20	27	21	22	32	8	31	42
0	19	20	14	15	24	26	20	28	25	20	8
0	10	23	30	15	21	39	20	35	16	21	17
1	29	15	24	15	20	33	21	24	15	20	14
0	7	20	36	16	20	35	20	33	16	17	19
0	15	41	21	15	15	21	20	32	15	24	7
0	12	44	18	13	20	32	18	37	15	22	7
1	25	24	20	15	22	27	21	26	22	15	16
1	8	37	17	17	14	28	16	30	19	22	46
1	17	20	20	12	20	23	24	26	30	23	27
1	35	13	18	22	22	25	18	27	18	20	0
1	10	40	19	16	26	27	21	26	21	30	38
0	14	22	20	14	19	45	20	30	14	43	26
1	24	20	20	21	20	25	21	31	18	25	4
1	27	28	18	15	17	27	20	38	13	16	25
0	14	22	17	10	24	47	21	25	19	46	2
0	15	29	20	22	14	26	19	30	11	30	27
1	22	30	16	12	15	22	16	30	17	15	2
0	12	22	20	23	22	30	20	28	32	20	47
1	29	23	20	13	18	31	20	36	12	20	17
0	10	18	27	9	23	37	17	27	16	18	2
0	11	40	19	11	20	25	20	30	16	17	4
1	25	25	22	16	18	25	18	27	11	17	22
1	19	24	16	16	17	21	20	30	20	22	21
1	18	22	17	15	16	25	22	26	24	24	23
0	10	18	20	21	18	48	16	36	15	44	13
