age	height	dash	bench	team
16	70	15.48	100	1
17	64	14.9	96	1
17	64	12.29	95	1
17	69	7.88	96	1
17	67	12.58	114	-1
17	69	17.03	104	-1
17	70	16.83	102	1
17	68	13.57	100	-1
17	75	13.11	107	-1
18	70	17.34	104	-1
16	64	16.4	89	1
17	72	13.39	107	-1
17	60	14.77	77	1
17	75	14.32	113	-1
16	64	16.23	89	1
17	65	10.89	100	-1
17	68	14.46	75	1
17	64	17.16	88	1
17	68	16.36	87	1
17	64	15.09	85	1
17	66	12.26	90	1
17	70	13.48	79	1
17	65	11.44	89	1
17	65	15.96	67	1
17	67	19.21	87	1
17	59	12.97	75	1
17	70	13.2	91	1
17	76	15.28	103	-1
17	73	17.68	89	1
15	61	14.49	99	1
17	71	15.6	101	1
17	65	15.44	87	1
16	73	16.39	95	1
18	68	13.51	97	1
15	72	18.11	94	1
17	64	14.23	94	1
16	70	14.72	92	1
17	72	12.92	100	-1
17	70	10.97	105	-1
18	63	14.57	95	1
