age	height	dash	bench	team
17	69	20.65	96	1
17	61	13.58	102	1
17	73	17.14	81	1
18	58	17.34	104	1
18	68	13.63	104	1
17	69	16.33	101	1
17	71	15.63	88	1
17	64	12.52	84	1
17	70	19.5	95	1
16	67	13.28	84	1
17	68	11.58	99	1
16	64	11.03	97	-1
17	70	14.84	103	1
17	72	12.81	101	-1
17	76	16.53	90	1
18	68	13.83	81	1
17	70	16.18	92	1
17	71	15.23	87	1
19	61	13.34	102	1
17	61	16.14	106	1
17	70	13.89	112	-1
17	80	15.83	96	-1
16	74	12.13	105	-1
17	68	13.66	84	1
17	66	10.18	101	-1
17	71	16.49	101	1
17	59	14.57	95	1
17	72	15.87	113	1
17	63	15.11	101	-1
17	72	15.45	103	1
17	75	13.25	107	1
17	73	10.05	101	-1
17	68	19.11	96	1
17	63	15.51	106	1
17	68	15.95	95	1
16	63	11.48	104	-1
17	72	15.15	100	-1
17	62	13.17	105	1
17	70	14.51	97	1
17	71	15.14	110	-1
17	68	16.56	91	1
17	63	16.52	95	1
17	65	14.91	95	1
17	68	15.82	84	1
17	66	12.23	106	-1
17	68	13.73	98	1
17	67	14.83	95	1
17	72	13.79	95	1
16	67	18.51	112	-1
17	71	14.53	104	1
17	68	14.69	92	1
17	72	14.57	112	-1
19	67	15.5	98	1
17	65	11.93	112	-1
17	66	19.71	83	1
19	71	15	85	1
17	66	16.37	92	1
19	68	14.96	91	1
18	68	12.88	86	1
17	71	13.43	106	-1
17	78	17.98	90	1
17	64	17.99	85	1
17	70	17.21	86	1
17	66	17.51	87	1
17	67	13.86	88	1
18	68	11.87	78	1
17	68	15.29	84	1
17	67	14.01	92	1
18	69	13.17	85	1
16	64	14.03	80	1
17	70	13.35	85	1
17	64	14.46	84	1
16	73	14.36	87	1
17	62	15.33	109	-1
17	80	17.57	82	1
17	67	10.54	107	-1
17	71	11.27	115	-1
16	69	13.69	82	1
17	72	15.2	118	-1
17	66	12.94	72	1
16	68	13.47	85	1
17	68	15.5	91	1
17	61	18.27	99	1
17	68	14.48	93	1
17	68	14.79	84	1
17	68	13.27	85	1
19	66	12.98	92	1
18	72	17.28	84	1
18	70	11.45	93	1
17	72	11.45	85	1
17	67	11.46	77	1
16	69	14.32	81	1
18	65	15.89	85	1
18	72	16.43	105	-1
17	69	14.37	88	1
17	66	14.68	89	1
17	73	12.48	85	1
17	71	15.14	85	1
16	69	15.05	92	1
17	72	14.86	109	-1
17	70	14.48	103	-1
17	72	12.08	126	-1
17	68	16.12	77	1
17	68	17.3	79	1
17	70	14.22	81	1
18	58	17.8	76	1
17	75	15.33	74	1
17	69	7.49	110	-1
17	67	14.53	87	1
17	66	12.56	88	1
17	68	15.5	85	1
17	74	15.71	88	1
17	66	11.41	83	1
17	69	14.96	110	-1
17	69	12.48	103	-1
18	68	15.66	86	1
18	67	16.46	87	1
16	62	16.87	98	1
16	65	16.3	99	1
15	77	13.09	108	-1
17	62	12.71	86	1
17	66	14.97	88	1
16	69	18.53	75	1
17	61	9.89	102	-1
17	68	13.11	96	1
17	59	17.04	84	1
17	69	14.92	104	-1
17	71	13.13	90	1
17	76	15.17	100	1
17	70	12.05	104	1
16	66	11.28	100	-1
17	64	10.89	93	-1
17	72	18.18	89	1
17	70	16.78	98	-1
16	74	15.81	88	1
19	67	13.41	110	-1
17	69	15.89	116	-1
17	68	12.57	87	1
17	67	15.2	95	1
17	74	14.28	102	-1
17	68	14.85	89	1
18	68	14.67	81	1
17	65	11.83	94	-1
17	64	19.46	92	1
16	67	15.83	89	1
17	66	13.82	76	1
18	64	13.75	103	-1
15	75	10.95	93	-1
17	72	13.95	121	-1
17	70	15.45	84	1
17	71	10.71	111	-1
17	73	14.83	105	-1
17	72	15.88	82	1
16	66	15.98	81	1
17	72	15.39	110	-1
17	66	14.83	87	1
16	72	13.61	84	1
17	68	16.26	87	1
17	65	16.66	108	1
16	70	13.3	86	1
