id	age	height	dash	bench
0	17	69	20.65	96
1	17	61	13.58	102
2	16	73	16.39	95
3	17	68	13.11	96
4	17	69	14.92	104
5	17	73	17.14	81
6	18	58	17.34	104
7	17	71	13.13	90
8	16	70	15.48	100
9	18	68	13.63	104
10	17	76	15.17	100
11	17	70	12.05	104
12	17	69	16.33	101
13	17	71	15.63	88
14	17	64	12.52	84
15	17	70	19.5	95
16	16	67	13.28	84
17	17	64	14.9	96
18	17	68	11.58	99
19	16	64	11.03	97
20	17	70	14.84	103
21	17	72	12.81	101
22	17	76	16.53	90
23	16	66	11.28	100
24	18	68	13.83	81
25	17	64	12.29	95
26	17	69	7.88	96
27	18	67	16.46	87
28	17	70	16.18	92
29	17	71	15.23	87
30	19	61	13.34	102
31	18	63	14.57	95
32	17	61	16.14	106
33	17	70	13.89	112
34	17	68	16.26	87
35	17	80	15.83	96
36	17	64	10.89	93
37	17	72	18.18	89
38	16	74	12.13	105
39	17	70	16.78	98
40	16	62	16.87	98
41	16	70	13.3	86
42	15	61	14.49	99
43	15	72	18.11	94
44	17	68	13.66	84
45	17	66	10.18	101
46	17	71	16.49	101
47	16	65	16.3	99
48	17	67	12.58	114
49	17	59	14.57	95
50	17	72	15.87	113
51	17	63	15.11	101
52	17	69	17.03	104
53	16	74	15.81	88
54	17	70	16.83	102
55	17	72	15.45	103
56	17	75	13.25	107
57	17	73	10.05	101
58	19	67	13.41	110
59	17	68	19.11	96
60	17	63	15.51	106
61	17	68	15.95	95
62	16	63	11.48	104
63	17	72	15.15	100
64	17	65	16.66	108
65	17	62	13.17	105
66	17	68	13.57	100
67	17	70	14.51	97
68	17	71	15.14	110
69	17	68	16.56	91
70	17	63	16.52	95
71	17	65	14.91	95
72	17	68	15.82	84
73	17	66	12.23	106
74	17	68	13.73	98
75	17	64	14.23	94
76	17	69	15.89	116
77	17	67	14.83	95
78	17	72	13.79	95
79	16	67	18.51	112
80	18	68	15.66	86
81	17	71	14.53	104
82	17	68	14.69	92
83	17	72	14.57	112
84	17	75	13.11	107
85	17	61	9.89	102
86	17	68	12.57	87
87	17	62	12.71	86
88	19	67	15.5	98
89	17	65	11.93	112
90	17	66	14.97	88
91	17	67	15.2	95
92	16	70	14.72	92
93	17	66	19.71	83
94	19	71	15	85
95	18	70	17.34	104
96	17	66	16.37	92
97	17	71	15.6	101
98	17	74	14.28	102
99	19	68	14.96	91
100	18	68	12.88	86
101	17	71	13.43	106
102	15	77	13.09	108
103	16	64	16.4	89
104	17	78	17.98	90
105	17	64	17.99	85
106	17	72	13.39	107
107	17	70	17.21	86
108	17	66	17.51	87
109	17	67	13.86	88
110	18	68	11.87	78
111	17	68	15.29	84
112	17	67	14.01	92
113	17	68	14.85	89
114	17	60	14.77	77
115	16	69	18.53	75
116	17	75	14.32	113
117	18	69	13.17	85
118	16	64	16.23	89
119	18	68	14.67	81
120	16	64	14.03	80
121	17	65	10.89	100
122	17	68	14.46	75
123	17	64	17.16	88
124	17	70	13.35	85
125	17	68	16.36	87
126	17	64	14.46	84
127	17	65	11.83	94
128	17	64	15.09	85
129	16	73	14.36	87
130	17	62	15.33	109
131	17	80	17.57	82
132	17	67	10.54	107
133	17	66	12.26	90
134	17	71	11.27	115
135	16	69	13.69	82
136	17	72	15.2	118
137	17	66	12.94	72
138	16	68	13.47	85
139	17	64	19.46	92
140	17	68	15.5	91
141	16	67	15.83	89
142	17	66	13.82	76
143	17	65	15.44	87
144	17	61	18.27	99
145	17	68	14.48	93
146	17	68	14.79	84
147	18	68	13.51	97
148	18	64	13.75	103
149	17	68	13.27	85
150	15	75	10.95	93
151	17	72	13.95	121
152	19	66	12.98	92
153	17	72	12.92	100
154	17	70	15.45	84
155	17	71	10.71	111
156	18	72	17.28	84
157	18	70	11.45	93
158	17	73	14.83	105
159	17	72	11.45	85
160	17	59	17.04	84
161	17	67	11.46	77
162	17	72	15.88	82
163	17	70	13.48	79
164	16	69	14.32	81
165	17	65	11.44	89
166	17	65	15.96	67
167	17	70	10.97	105
168	18	65	15.89	85
169	16	66	15.98	81
170	18	72	16.43	105
171	17	69	14.37	88
172	17	66	14.68	89
173	17	67	19.21	87
174	17	73	12.48	85
175	17	72	15.39	110
176	17	71	15.14	85
177	16	69	15.05	92
178	17	72	14.86	109
179	17	70	14.48	103
180	17	72	12.08	126
181	17	59	12.97	75
182	17	70	13.2	91
183	17	68	16.12	77
184	17	68	17.3	79
185	17	70	14.22	81
186	17	76	15.28	103
187	18	58	17.8	76
188	17	75	15.33	74
189	17	73	17.68	89
190	17	69	7.49	110
191	17	67	14.53	87
192	17	66	12.56	88
193	17	68	15.5	85
194	17	74	15.71	88
195	17	66	14.83	87
196	17	66	11.41	83
197	17	69	14.96	110
198	16	72	13.61	84
199	17	69	12.48	103

